ID,Comments
3,"According to your logic, Ma Yun which day caught a cold, buy a box of cold medicine can not be 100 billion?"
4,Capitalist version on demand??
5,"Originally not in the physical store consumption, is because the young is always shouted by the other side, also do not let to speak.Quite hate kill ripe, now book the hotel will first call to ask, where to go to such app is a lifetime will never use."
6,"People who can't talk about the price finally think that online shopping is a lifeline and the price is transparent. As long as you can penetrate the P map to see the bottom layer and restore the moderate sense of space in the 3D dimension from the 2D picture, you can still shop normally. Now it has finally evolved to the homogenization stage where you have to bargain with people."
7,"will not.There will always be platforms that compete with unfamiliar or unfamiliar platforms, making the latter impossible to go too much, otherwise it will lower the entry threshold for competitors"
9,"Not all goods are life and death, and if so, a big data system to sell him slightly above the lowest buyer, because it is profitable."
11,"It is unlikely to be so serious, the beginning price of price discrimination is determined by market demand.For example, when you go to the scenic spot to buy water, there is only one store on the island, and the price of water is at most three times the normal.And the main idea is too little about market regulation and government regulation.For example, if an A store sells 500 band-aid with big data, a B store cannot sell 400 in advance with big data and game?So the final price may have a certain rise, but not so exaggerated."
14,"The idea is no longer imaginary, and Alibaba has used face recognition data to reach a big data cooperation with three physical squirrel stores."
16,Big data plus the Internet will quickly aggravate the negative effects
17,Can big data kill those related to industry?
18,"Big data, it is fair to kill mature. A merchants made profits by killing cooked, but he also becomes part of the big data, unless he only buys everything he needs in his store without any outside contact, maybe he will go to 10,000 public toilet"
19,"When you're so rich as to become a famous billionaire, you buy cheaper, and don't even have to give you free. Earlier, Mark Twain's Million pound Bill, and Trump barely paid for a restaurant before he was elected president."
22,"For the maintenance of consumer rights and interests, really very weak, a business out of the scandal is casual public relations, still comfortable, kill event is just a small microcosm, corporate ethics can say even cover, such as slag waves, such as baidu, such as jingdong, many many, promise not to cash wrangling too much, no bottom line without the cost of evil is too low"
26,Feel that Taobao will buy this magic thing in the future
30,No wonder I Tmall search clothes and shoes over and over only recommend that a few brands!!
34,"Moreover, if those big platforms master a variety of data on food, clothing, food, housing and transportation, and steal the users 'private data, it is easy to analyze the users' personality in the future.Those careless users secretly kill him, those weak customers bully him with various discriminatory terms, nothing to do and background and have no financial users can kill, such you can accept the high technology?"
38,"There are so many trading platforms on the Internet, which is much more reliable than the physical stores."
39,"From another point of view, big data increases the information asymmetry between consumers and merchants, so consumers have to suffer."
40,"Will create new careers, collect coupons, buy goods, buy low, buy and sell high, and balance prices?"
41,"Price discrimination is limited by the scene, in fact, band-aid is not appropriate, so that everyone is cut, I opened a affordable pharmacy next to it, and the previous pharmacy soon closed down.The core point of price discrimination is to sell some goods at a discount in order to sell more goods, but this discount channel is hidden and cumbersome, and will not affect the choice of the original customers.Understand, the core is the price reduction, not the price increase.Drinks in five-star hotels should be so expensive, but to sell more and expand profits, you can buy them.The original business crowd is disdain group buying, sold more drinks to diaosi.In the example you give, a guy who bought band-aid is furious, which only proves that the store's big data killing algorithm is too bad. The good algorithm should be when the guy sees others use coupons to buy hundreds of band-aid cheap, the middle-aged uncle on tiptoe"
42,"Price discrimination has long existed, simply because the poor and the rich have the highest willingness to pay, which is not equal, and it is urgent to give the pot to big data.The information revolution can undoubtedly drive great progress in society, and it is normal to start a little pain.Hope to enjoy the benefits of social progress, do not want to accompany this society together to break through the difficulties, the responsibility and dedication of the contemporary people"
44,To put capital interests above the basic needs of human life is anti-human.
51,"The evil thing is that this kind of thing won't happen in pharmacies, because B will sell band-aids to A at a low price, but it will appear on the Internet, because no one will know how much their neighbors' band-aids go online.The Internet originally aims to give us information, but workers are much less able to obtain information than capitalists."
52,"But according to economics, if there are no information barriers (where both people see each other buy band-aids), they trade..."
54,"But now even if there is no big data, such as air tickets or different prices ah, big data at best, it is ridiculous to push the pot to big data"
